,Delta,Theta,Alpha,Beta,Gamma,Subject,Session,Condition,BinaryCondition,TernaryCondition
ECoG_ch083,0.06924642091540886,0.01450509953893338,0.006994655357211478,0.0027907368649137346,0.0015897109148295587,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch084,0.05802959476921917,0.014065218171018695,0.005954861022517842,0.0024705158427922543,0.0013556843464397877,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch085,0.049257687526257615,0.011207869673420294,0.0048289570684938,0.002114276254621397,0.001151935021427919,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch086,0.04234167908274701,0.009165864427392983,0.004273724518897046,0.001984690496703268,0.0010953699252125987,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch087,0.03611102151886898,0.007674921147572004,0.003816428499790953,0.0018848482155160726,0.001039566149150413,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch088,0.02909236375823498,0.006775873898599576,0.003623119418987066,0.001859219260208503,0.001055966020320015,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch089,0.026710791234132038,0.0069764984738581405,0.0035032343850549155,0.0018514345017605022,0.0011269389905996844,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch090,0.027524186501116866,0.0073554936611247655,0.0032281263156468897,0.0018732471807809395,0.0012241603092563536,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch091,0.026021032541295806,0.007520727216848546,0.0032348552628796334,0.001901093073525691,0.0012817964323757,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch092,0.05579929044492621,0.014884514186224775,0.005777553364118471,0.003212658821985186,0.0021922187206476116,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch093,0.055302087039404584,0.013311469448384636,0.005765682734897275,0.0030917087555090584,0.002407984462683444,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch094,0.05155152225148036,0.01286569061865022,0.00586505455400976,0.003026272058745356,0.0022632006928771874,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch095,0.048705161094914566,0.012205312500153422,0.006308531843905584,0.0028545958822025477,0.0019651781306429424,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch096,0.055662571307628604,0.01645880864202923,0.008472765417110287,0.0033639881125693935,0.0019290948527703133,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch097,0.05370193203265377,0.015927872804816865,0.0073601364102425905,0.0031611695183189014,0.0018895692248157893,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch098,0.054999956243408615,0.012706333434898645,0.00621524494778987,0.0024865378813393015,0.0013181667630063302,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch099,0.04331972374463085,0.00856301479306253,0.003975591208860305,0.0018470850902328679,0.0010276165656245824,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch100,0.038010841847972036,0.007083118279546543,0.0035488556224633535,0.0018493258852749289,0.0009833512863367474,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch101,0.03191213783346823,0.006807716897300858,0.0038387768613773084,0.002085089252462784,0.001078680212593427,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch102,0.02722757903759946,0.007147181144252846,0.004020697460577203,0.002126578872253924,0.0011000718328235462,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch103,0.02817590623738568,0.0071683892803341654,0.0033722024756993245,0.0020249309052878814,0.0011947547739183883,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch104,0.027497788629491385,0.007381276297841113,0.00346258009708729,0.0020462027636499684,0.0012011686688503396,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch105,0.044213344546608184,0.0122044857845237,0.005383728063692861,0.0033191152023951277,0.0025070110564073935,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch106,0.04369863887269821,0.010684521498750115,0.004911121791520778,0.002796031651235483,0.002144719576728087,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch107,0.043102575089983136,0.010238320985098354,0.004840404792214299,0.002631903051548381,0.0018738350421865766,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch108,0.035625093682065984,0.009010829933855788,0.004680253738201552,0.0024960221588552415,0.0017874666280509868,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch109,0.04339604665541918,0.00788353458854914,0.0034566634177427727,0.0016168788179109874,0.0009346327044243156,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch110,0.0385894671348117,0.006909236919211497,0.003286667354962392,0.0016045998026720223,0.0009031832124885254,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch111,0.03192455882543352,0.006854574491354126,0.003724706299934553,0.0019968601301801805,0.0010678126640491677,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch112,0.030040635647446724,0.007395082725772548,0.004007162707909924,0.0021559751370252476,0.0011049910092362967,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch113,0.027874713252135273,0.0072240511460195285,0.0036257395937288506,0.0021054408048877394,0.0011542555108946596,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch114,0.028566108594523985,0.00763572582014428,0.003785130280533524,0.00219538781653024,0.0011912636645724853,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch115,0.02980995625395346,0.006871383500268613,0.0035433580511838613,0.0017476417195412127,0.0010539497671902234,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch116,0.029584249295745227,0.006723058261803633,0.003230533039680823,0.001678258482237847,0.001019504862178425,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch117,0.030338433507855946,0.007848379616115252,0.003676340934045317,0.0018903508862268558,0.0010968791338137544,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch118,0.03220088980698358,0.00799204397721993,0.003671491207906411,0.0018860731803861594,0.0011517491123706578,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch119,0.03379268651055271,0.00917559081979034,0.003914892463266795,0.0019061467773327848,0.001216786246557782,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch120,0.036354980254707965,0.009102931666557165,0.004080421177136762,0.0019500506267046789,0.0013255407504938008,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch121,0.03747253940067334,0.0092493394621635,0.004311158022651362,0.002124462823868503,0.0014420377193705227,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch122,0.046159630942763936,0.010678614606012821,0.005861629865811873,0.0026572985241843806,0.0015222687296844147,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch123,0.03767582915050756,0.009061016853517406,0.004328752961913133,0.0020331024667498013,0.001260545292357899,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch124,0.045807571656042705,0.010296206913260029,0.005504508712225645,0.0024077274768802776,0.0014430926980253918,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch125,0.033827356587275786,0.008273239136782864,0.004102001900942695,0.0018927637001034158,0.0012341617167838264,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch126,0.04047646696493037,0.009543576602962503,0.005402194537267747,0.002278803364129495,0.001423887529841834,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch127,0.03125771144582813,0.0071299009855120095,0.003340458022885358,0.0017267403453360426,0.001204281806244196,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch128,0.035752123416063285,0.00834254745691601,0.0043097836644920996,0.002031554302982472,0.0013861371958277275,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch001,0.02409971332527757,0.002751648980509086,0.001581301582526992,0.001105882882813178,0.0008023666358686522,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch002,0.014904327188550925,0.0025176948106726497,0.0012826568194886133,0.0009266037588606185,0.000651102586341251,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch003,0.01434317874284052,0.0023594004064923543,0.0012211087255803897,0.000784546198494599,0.0005338759290881387,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch004,0.024819876571489093,0.004767542134397061,0.0023309021479665046,0.0011401354239942197,0.0007859654861591921,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch005,0.0249447075794662,0.0062170461744536975,0.003247598223822817,0.002089525048834064,0.001491245137089579,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch006,0.023059830885385227,0.005417766465619614,0.002906880059169583,0.0020054061938898585,0.0013894368831666776,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch007,0.018639635345314376,0.004506143170897671,0.0024788942634099403,0.0016620198468973752,0.0011854076205441656,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch008,0.01356458135285616,0.003667571650421799,0.002014239321812095,0.0014756841769445618,0.0010664203520567156,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch009,0.013560246781345098,0.003191680294617274,0.0016545416457232796,0.0012379429727945304,0.0008947016549251452,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch010,0.013523009443594835,0.0029857592916881837,0.0014225246472663834,0.0009728560009536077,0.0006995780322773611,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch011,0.01472553296228467,0.0029454051048211573,0.0014702727632857663,0.00088390830059221,0.0005944710754964031,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch012,0.020690897569255722,0.0037254086842052696,0.001879483002102247,0.0009834803431447703,0.000656696071355625,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch013,0.027482347364590647,0.005418337666014204,0.002467822598767012,0.001213096327631346,0.0007932722623321954,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch014,0.03089184944745767,0.007715980501438372,0.004089535157423441,0.002332894081612421,0.0017503153020449968,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch015,0.021078021831065944,0.005074443258734066,0.003002882153343474,0.0019091476222192541,0.0014681920593849717,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch016,0.031139199675305478,0.005110212393251901,0.0027600468679502524,0.001728079329824669,0.0012347452438588628,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch017,0.02804745933084499,0.0041774650343816165,0.0020411775554797177,0.0013531531171671648,0.0009926380669997745,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch018,0.020920244111000606,0.003921315657052484,0.0017997607891421686,0.0012649482125800613,0.0009241263834910372,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
